date,location,country,summary_of_case,drone_category,drone_model,drone_manufacturer,payload_type,control_method,mission_type,gangs_involved,link_to_other_criminal_activity,procurement_method,supply_chain_origin,ukraine_link,ukraine_link_classification,verification_status,evidence_quality,platform_source,url_primary_source,url_all_sources,row_note
2026-01,Northern Mexico; near US border,Mexico,Cartel operatives used drones to drop IEDs on rival groups near US border; video geolocated by OSINT analysts,commercial COTS,Unknown,Unknown,explosives (IED),FPV manual,attack (explosive drop),Likely CJNG; Likely Sinaloa,drug trafficking; arms trafficking; rival gang warfare,grey market,China (DJI),TRUE,Confirmed,VERIFIED,Confirmed,YouTube; Twitter/X,https://www.youtube.com/watch?v=Z4abjd_4iR8,https://www.youtube.com/watch?v=Z4abjd_4iR8,ukraine_link inferred from group-level attribution (CJNG and Sinaloa); video geolocated by OSINT
2023/2026,Various border municipalities; Northern Mexico,Mexico,Drones used systematically for surveillance of law enforcement and drug delivery across the US-Mexico border; multi-year general trend,commercial COTS,Unknown,Unknown,drugs; surveillance,GPS waypoint/autonomous,surveillance/ISR; drug smuggling; border crossing,CJNG; Sinaloa; CDN,drug trafficking; arms trafficking,legal retail; grey market,China (DJI),TRUE,Probable,VERIFIED,Confirmed,Twitter/X; Facebook; AP; Reuters,https://apnews.com/article/drones-carteles-mexico-eeuu-espacio-aereo-el-paso-39781505ae52177bd20d39868aeea3de,https://apnews.com/article/drones-carteles-mexico-eeuu-espacio-aereo-el-paso-39781505ae52177bd20d39868aeea3de,aggregate trend row covering 2023-2026; ukraine_link inferred from group-level attribution
2025,US-Mexico border region,United States,Kamikaze drones with explosives targeted US Border Patrol agents; video evidence; marks escalation to attacking law enforcement on US soil,commercial COTS,Unknown,Unknown,explosives,FPV manual,attack (kamikaze/one-way),Likely CJNG; Likely Sinaloa,drug trafficking; arms trafficking,battlefield adaptation (Ukraine); grey market,China (DJI),TRUE,Confirmed,VERIFIED,Confirmed,YouTube,https://www.youtube.com/watch?v=FPqW4G2lYnU,https://www.youtube.com/watch?v=FPqW4G2lYnU,ukraine_link inferred from group-level attribution; kamikaze/one-way attack tactic classified Confirmed per Ukraine transfer section
2024/2025,New Mexico and Texas border regions,United States,Repeated cartel drone incursions for surveillance and drug drops; prompted anti-drone legislative and operational measures,commercial COTS,Unknown,Unknown,drugs; surveillance,GPS waypoint/autonomous,surveillance/ISR; drug smuggling; border crossing,Unspecified Mexican cartels,drug trafficking,legal retail; grey market,China (DJI),FALSE,Not applicable,VERIFIED,Confirmed,YouTube; Twitter/X; Reuters,https://www.reuters.com/world/senator-seeks-us-watchdog-probe-into-texas-drone-incidents-2026-03-13/,https://www.youtube.com/watch?v=zzI1sp2ZQdY;https://www.reuters.com/world/senator-seeks-us-watchdog-probe-into-texas-drone-incidents-2026-03-13/,None
2023/2025,Tierra Caliente; Michoacán; Jalisco; Guanajuato,Mexico,CJNG and allied groups used DJI Mavic drones modified for grenade drops and IED delivery against rivals and security forces; sustained multi-year campaign,commercial COTS,DJI Mavic series,DJI,explosives,FPV manual; GPS waypoint/autonomous,attack (explosive drop),CJNG; La Familia Michoacana,drug trafficking; arms trafficking; rival gang warfare; civilian displacement,legal retail; grey market,China (DJI),TRUE,Confirmed,VERIFIED,Confirmed,Facebook; Twitter/X; YouTube; AP; Militant Wire,https://www.militantwire.com/p/flying-south-for-the-war-the-rise,https://apnews.com/article/drones-carteles-mexico-eeuu-espacio-aereo-el-paso-39781505ae52177bd20d39868aeea3de;https://www.militantwire.com/p/flying-south-for-the-war-the-rise,merged from Table 1 row 13 and Table 3 row (2023-2025 Michoacán/Jalisco/Guanajuato); ukraine_link inferred from group-level attribution
2024-04,Michoacán; Mexico,Mexico,CJNG deployed FPV drone for first confirmed cartel FPV attack and separately intensified drone attacks dropping explosive devices with chemical substances causing respiratory distress — both incidents CJNG April 2024 Michoacán,improvised/FPV,DJI Mavic series,DJI,explosives (chemical),FPV manual,attack (kamikaze/one-way); attack (explosive drop),CJNG,drug trafficking; arms trafficking; rival gang warfare,legal retail; grey market; battlefield adaptation (Ukraine),China (DJI),TRUE,Confirmed,VERIFIED,Confirmed,Twitter/X; Telegram; CSIS; InSight Crime,https://www.csis.org/analysis/illicit-innovation-latin-america-not-prepared-fight-criminal-drones,https://www.csis.org/analysis/illicit-innovation-latin-america-not-prepared-fight-criminal-drones;https://insightcrime.org/news/drones-fuel-criminal-arms-race-latin-america/;https://www.ksat.com/news/world/2026/02/12/how-mexican-cartels-employ-drones-as-tools-to-smuggle-drugs-and-fight-enemies/,merged Table 1 (first FPV attack) + Table 2 (chemical payload) + Table 3; both April 2024 CJNG Michoacán; FPV tactic classified Confirmed per Ukraine transfer section; ukraine_link inferred from group-level attribution
2025-08,Mexico (exact location not specified),Mexico,Cárteles Unidos released video of drone attack on CJNG positions; geolocated by OSINT analysts and cited in academic analysis,commercial COTS,DJI Mavic 2,DJI,explosives,GPS waypoint/autonomous,attack (explosive drop),Cárteles Unidos (attacker); CJNG (target),rival gang warfare,legal retail; grey market,China (DJI),FALSE,Not applicable,VERIFIED,Confirmed,Twitter/X; YouTube; Militant Wire,https://www.militantwire.com/p/flying-south-for-the-war-the-rise,https://www.militantwire.com/p/flying-south-for-the-war-the-rise,None
2025-07-20,Catatumbo; Norte de Santander,Colombia,ELN explosive drone attack on military patrol killed 3 soldiers and wounded 8; commercial photography drone adapted for IED delivery,commercial COTS,Unknown,Unknown,explosives (IED),GPS waypoint/autonomous,attack (explosive drop),ELN,drug trafficking; arms trafficking,legal retail; grey market; black market/dark web,China (DJI),TRUE,Probable,VERIFIED,Confirmed,War on the Rocks; AP; Twitter/X,https://apnews.com/article/colombia-drone-attack-eln-catatumbo-61768f71290d2604a2d123d017cb18b4,https://warontherocks.com/2025/09/the-future-of-criminal-drone-use-in-latin-america/;https://apnews.com/article/colombia-drone-attack-eln-catatumbo-61768f71290d2604a2d123d017cb18b4,Table 1 date listed as 2025-06-12; Table 3 lists Aug 2025; AP source URL matches COL row with date 2025-07-20; used 2025-07-20 as most AP-consistent; discrepancy noted; ukraine_link inferred from group-level attribution
2024-07,Colombia (region undisclosed),Colombia,First lethal drone attack in Colombia attributed to ELN or FARC dissidents; casualties among security forces,commercial COTS,Unknown,Unknown,explosives,GPS waypoint/autonomous,attack (explosive drop),ELN; ex-FARC dissidents,drug trafficking; arms trafficking,legal retail; grey market,China (DJI),TRUE,Probable,VERIFIED,Confirmed,CSIS; InSight Crime,https://www.csis.org/analysis/illicit-innovation-latin-america-not-prepared-fight-criminal-drones,https://www.csis.org/analysis/illicit-innovation-latin-america-not-prepared-fight-criminal-drones,ukraine_link inferred from group-level attribution (ELN)
2025-04,Colombia (exact location not specified),Colombia,First documented one-way (kamikaze) attack drone deployed by a Colombian nonstate actor; geolocated by OSINT analysts,improvised/FPV,Unknown,Unknown,explosives,FPV manual,attack (kamikaze/one-way),Likely FARC dissidents; Likely ELN,drug trafficking; arms trafficking,black market/dark web; battlefield adaptation (Ukraine),China (components),TRUE,Confirmed,VERIFIED,Confirmed,Twitter/X; War on the Rocks,https://warontherocks.com/2025/09/the-future-of-criminal-drone-use-in-latin-america/,https://warontherocks.com/2025/09/the-future-of-criminal-drone-use-in-latin-america/,ukraine_link inferred from group-level attribution (ELN); kamikaze/one-way tactic classified Confirmed per Ukraine transfer section
2024,Colombia (general),Colombia,Aggregate: 115 drone attacks by ELN and ex-FARC rebel groups documented in 2024 alone; predominantly commercial drones modified with explosives,commercial COTS,Unknown,Unknown,explosives,FPV manual; GPS waypoint/autonomous,attack (explosive drop),ELN; ex-FARC mafia,drug trafficking; arms trafficking,legal retail; grey market,China (DJI),TRUE,Probable,VERIFIED,Confirmed,AP; Colombian Defense Ministry,https://apnews.com/article/colombia-drone-attack-eln-catatumbo-61768f71290d2604a2d123d017cb18b4,https://apnews.com/article/colombia-drone-attack-eln-catatumbo-61768f71290d2604a2d123d017cb18b4,aggregate row — 115 attacks in 2024; ukraine_link inferred from group-level attribution (ELN); prose-only aggregate in Table 1 source
2024,Departments of Cauca and Nariño; Colombia,Colombia,Series of drone attacks on army and infrastructure by ex-FARC mafia; increased frequency documented by InSight Crime,commercial COTS,Unknown,Unknown,explosives,GPS waypoint/autonomous,attack (explosive drop),ex-FARC mafia,drug trafficking; arms trafficking; rival gang warfare,legal retail; grey market,China (DJI),FALSE,Not applicable,VERIFIED,Confirmed,InSight Crime,https://insightcrime.org/news/drones-fuel-criminal-arms-race-latin-america/,https://insightcrime.org/news/drones-fuel-criminal-arms-race-latin-america/,None
2023,Guayaquil and Durán; Ecuador,Ecuador,Police seized three commercial drones with 5 km range and 5 kg payload capacity used for drug trafficking by local criminal networks,commercial COTS,Unknown,Unknown,drugs,GPS waypoint/autonomous,drug smuggling,Unspecified trafficking networks,drug trafficking,legal retail,China (DJI),FALSE,Not applicable,VERIFIED,Confirmed,InSight Crime,https://insightcrime.org/news/drones-fuel-criminal-arms-race-latin-america/,https://insightcrime.org/news/drones-fuel-criminal-arms-race-latin-america/,merged from Table 1 row 21; Table 2 row (July 2023); Table 3 row (July 2023); Ecuador master table (2023-07)
2023,Colombian prisons; northern Colombia,Colombia,Seven INPEC (prison authority) officials prosecuted for facilitating drone-based smuggling of contraband into prisons; prison corruption case,unknown,Unknown,Unknown,contraband (prison),unknown,prison contraband,Corrupt INPEC officials,prison corruption; drug trafficking,not specified,Unknown,FALSE,Not applicable,VERIFIED,Confirmed,InSight Crime,https://insightcrime.org/news/drones-fuel-criminal-arms-race-latin-america/,https://insightcrime.org/news/drones-fuel-criminal-arms-race-latin-america/,None
2023,Panama (prisons),Panama,1587 drones seized by Panamanian authorities for smuggling contraband into prisons in a single year,unknown,Unknown,Unknown,contraband (prison),unknown,prison contraband,Not specified,prison corruption; drug trafficking,not specified,Unknown,FALSE,Not applicable,VERIFIED,Confirmed,InSight Crime,https://insightcrime.org/news/drones-fuel-criminal-arms-race-latin-america/,https://insightcrime.org/news/drones-fuel-criminal-arms-race-latin-america/,None
2023/2025,Mexico (various regions),Mexico,CJNG specialized drone unit 'Operadores Droneros' with unique insignia responsible for approximately 20% of all drone attacks; conducted surveillance; attacks; and psychological warfare,commercial COTS,DJI Mavic series; Generic FPV quad,DJI; Various (China),explosives; surveillance,FPV manual; GPS waypoint/autonomous,attack (explosive drop); surveillance/ISR; psychological warfare,CJNG,drug trafficking; arms trafficking; rival gang warfare,legal retail; grey market; battlefield adaptation (Ukraine),China (DJI); China (components),TRUE,Confirmed,VERIFIED,Confirmed,Twitter/X; YouTube; OSINT; Militant Wire; CSIS,https://www.militantwire.com/p/flying-south-for-the-war-the-rise,https://www.militantwire.com/p/flying-south-for-the-war-the-rise;https://www.csis.org/analysis/illicit-innovation-latin-america-not-prepared-fight-criminal-drones,capability profile row covering 2023-2025; not a single incident; ukraine_link inferred from group-level attribution
2024,Mexico (various regions),Mexico,La Nueva Familia Michoacana (LNFM) drone attack count increased from 6 in 2023 to 20 in 2024 then dropped in 2025; weaponized drones documented,commercial COTS,Unknown,Unknown,explosives,FPV manual,attack (explosive drop),LNFM,drug trafficking; rival gang warfare,legal retail; grey market,China (DJI),FALSE,Not applicable,VERIFIED,Confirmed,OSINT; Small Wars Journal,https://smallwarsjournal.com/2026/02/16/mexican-cartel-drone-attacks-report/,https://smallwarsjournal.com/2026/02/16/mexican-cartel-drone-attacks-report/,None
2025,Mexico (exact location not specified),Mexico,Gulf Cartel (CDG) drone attack on El Chapo's mother's house using grenade-dropping drone; geolocated video,commercial COTS,Unknown,Unknown,explosives,GPS waypoint/autonomous,attack (explosive drop),Gulf Cartel (CDG),rival gang warfare; drug trafficking,legal retail; grey market,China (DJI),FALSE,Not applicable,VERIFIED,Confirmed,Twitter/X; YouTube; Militant Wire,https://www.militantwire.com/p/flying-south-for-the-war-the-rise,https://www.militantwire.com/p/flying-south-for-the-war-the-rise,prose-only case listed in Table 1 row; no Table 3 row
2023-05,Heliodoro Castillo; Guerrero,Mexico,Drone attack killed two people and displaced approximately 600 residents; attributed to unnamed local criminal group (likely CJNG or rivals),commercial COTS,Unknown,Unknown,explosives,FPV manual; GPS waypoint/autonomous,attack (explosive drop),Unnamed criminal group,civilian displacement; rival gang warfare; drug trafficking,not specified,Unknown,FALSE,Not applicable,VERIFIED,Confirmed,InSight Crime,https://insightcrime.org/news/drones-fuel-criminal-arms-race-latin-america/,https://insightcrime.org/news/drones-fuel-criminal-arms-race-latin-america/,merged from Table 2 (May 2023) and Table 3 (May 2023)
2023-H1,Mexico (nationwide),Mexico,SEDENA reported 260 drone attacks in the first half of 2023; mainly attributed to CJNG and allies using weaponized drones against rivals,commercial COTS,Unknown,Unknown,explosives,FPV manual; GPS waypoint/autonomous,attack (explosive drop),CJNG,drug trafficking; rival gang warfare,legal retail; grey market,China (DJI),TRUE,Confirmed,VERIFIED,Confirmed,CSIS,https://www.csis.org/analysis/illicit-innovation-latin-america-not-prepared-fight-criminal-drones,https://www.csis.org/analysis/illicit-innovation-latin-america-not-prepared-fight-criminal-drones,aggregate row — SEDENA report first half 2023; ukraine_link inferred from group-level attribution (CJNG)
2023-05,Tepalcatepec; Michoacán,Mexico,CJNG used drones to drop explosives on rival Cárteles Unidos positions; attacks described as increasing in frequency and boldness,commercial COTS,Unknown,Unknown,explosives,FPV manual,attack (explosive drop),CJNG,rival gang warfare; drug trafficking; civilian displacement,legal retail; grey market,China (DJI),TRUE,Confirmed,VERIFIED,Confirmed,InSight Crime,https://insightcrime.org/news/tepalcatepec-mexico-staging-ground-for-drone-warfare/,https://insightcrime.org/news/tepalcatepec-mexico-staging-ground-for-drone-warfare/,ukraine_link inferred from group-level attribution
2023-09,Michoacán; Mexico,Mexico,Eight Colombian nationals arrested for manufacturing drone-borne explosive devices for the Los Viagras cartel; Colombian ex-military involvement (Elkin Pérez Loaiza 'El Tigre' identified),improvised/FPV,Unknown,Unknown,explosives (IED),FPV manual,attack (explosive drop),Los Viagras,drug trafficking; arms trafficking; rival gang warfare,black market/dark web; local assembly,China (components); local (Latin America),FALSE,Not applicable,VERIFIED,Confirmed,InSight Crime,https://insightcrime.org/news/drones-fuel-criminal-arms-race-latin-america/,https://insightcrime.org/news/drones-fuel-criminal-arms-race-latin-america/,merged from Table 2 (Sep 2023) and Table 3 (Sep 2023); Elkin Pérez Loaiza confirmed as trainer (InSight Crime)
2024-12,Cotija; Michoacán,Mexico,Cárteles Unidos drone attack using IEDs killed two soldiers and injured five; use of IEDs and drones confirmed by SEDENA,commercial COTS,Unknown,Unknown,explosives (IED),FPV manual,attack (explosive drop),Cárteles Unidos,rival gang warfare; arms trafficking,legal retail; grey market,China (DJI),FALSE,Not applicable,VERIFIED,Confirmed,InSight Crime,https://insightcrime.org/news/criminal-groups-mexico-improvised-explosive-devices/,https://insightcrime.org/news/criminal-groups-mexico-improvised-explosive-devices/,merged from Table 2 (Dec 2024) and Table 3 (Dec 2024)
2024-07,Mexico (unspecified),Mexico,First lethal drone attack in Mexico killed a 10-year-old child; at least 11 deaths from drone attacks in first five months of 2025 also referenced,commercial COTS,Unknown,Unknown,explosives,FPV manual,attack (explosive drop),Unknown,civilian displacement; drug trafficking; rival gang warfare,not specified,Unknown,FALSE,Not applicable,VERIFIED,Confirmed,CSIS,https://www.csis.org/analysis/illicit-innovation-latin-america-not-prepared-fight-criminal-drones,https://www.csis.org/analysis/illicit-innovation-latin-america-not-prepared-fight-criminal-drones,None
2024,US-Mexico border,United States,Approximately 1000 drone incursions per month from Mexico into US documented; used for surveillance; tracking Border Patrol; and drug delivery,commercial COTS,Unknown,Unknown,drugs; surveillance,GPS waypoint/autonomous,surveillance/ISR; drug smuggling; border crossing,Unspecified Mexican cartels,drug trafficking,legal retail; grey market,China (DJI),FALSE,Not applicable,VERIFIED,Confirmed,CSIS,https://www.csis.org/analysis/united-states-needs-southwest-drone-wall,https://www.csis.org/analysis/united-states-needs-southwest-drone-wall,aggregate trend observation
2024-02,Mexico (unspecified),Mexico,Drones used to deliver illicit goods across the US-Mexico border evading patrol; cited as growing cartel tactic,commercial COTS,Unknown,Unknown,drugs,GPS waypoint/autonomous,drug smuggling; border crossing,Unspecified Mexican cartels,drug trafficking,legal retail; grey market,China (DJI),FALSE,Not applicable,VERIFIED,Probable,CSIS,https://www.csis.org/analysis/illicit-innovation-latin-america-not-prepared-fight-criminal-drones,https://www.csis.org/analysis/illicit-innovation-latin-america-not-prepared-fight-criminal-drones,None
2023/2024,Chicomuselo; Chiapas,Mexico,Criminal groups used drones to drop explosives on civilian homes; approximately 400 people displaced; largest recorded drone-driven civilian displacement in Chiapas,commercial COTS,Unknown,Unknown,explosives,FPV manual; GPS waypoint/autonomous,attack (explosive drop); psychological warfare,Unknown criminal groups,civilian displacement; drug trafficking; extortion,not specified,Unknown,FALSE,Not applicable,VERIFIED,Confirmed,InSight Crime,https://insightcrime.org/news/warring-criminal-groups-are-targeting-civilians-in-chiapas-mexico/,https://insightcrime.org/news/warring-criminal-groups-are-targeting-civilians-in-chiapas-mexico/,prose-only case from Table 2; no Table 1 or Table 3 row
2023/2025,Sinaloa; Mexico,Mexico,Authorities seized dozens of drones and explosives amid Sinaloa Cartel factional infighting; escalating weaponization trend,commercial COTS,Unknown,Unknown,explosives,unknown,attack (explosive drop),Sinaloa Cartel (factions),rival gang warfare; drug trafficking,legal retail; grey market,China (DJI),TRUE,Probable,VERIFIED,Confirmed,InSight Crime,https://insightcrime.org/news/criminal-groups-mexico-improvised-explosive-devices/,https://insightcrime.org/news/criminal-groups-mexico-improvised-explosive-devices/,ukraine_link inferred from group-level attribution (Sinaloa)
2023/2025,Mexico (nationwide),Mexico,Cartels (CJNG; Familia Michoacana) building custom-made narco-drones for narcotics transport and attacks; DEA confirms trend; production hubs in Querétaro; Guadalajara; Nuevo León; Mexico City,improvised/FPV,Generic FPV quad,Various (China),drugs; explosives,FPV manual; GPS waypoint/autonomous,drug smuggling; attack (explosive drop),CJNG; La Familia Michoacana,drug trafficking; arms trafficking,front company; local assembly; black market/dark web,China (components),TRUE,Confirmed,VERIFIED,Confirmed,InSight Crime,https://insightcrime.org/news/brief/mexico-s-cartels-building-custom-made-narco-drones-dea/,https://insightcrime.org/news/brief/mexico-s-cartels-building-custom-made-narco-drones-dea/,aggregate trend; ukraine_link inferred from group-level attribution
2023-08-18,Cúcuta; Norte de Santander,Colombia,FARC dissidents used a commercial DJI Phantom 4 drone to drop explosives on a police station; no injuries; one of earliest documented Colombian rebel drone attacks,commercial COTS,DJI Phantom 4,DJI,explosives,GPS waypoint/autonomous,attack (explosive drop),ex-FARC dissidents,drug trafficking; arms trafficking,legal retail; grey market,China (DJI),FALSE,Not applicable,VERIFIED,Confirmed,InSight Crime,https://insightcrime.org/news/colombia-drones-farc-dissidents-explosives/,https://insightcrime.org/news/colombia-drones-farc-dissidents-explosives/,None
2024-01-07,Guayaquil; Ecuador,Ecuador,Los Choneros gang suspected of deploying surveillance drone during prison escape of leader José Adolfo Macías 'Fito'; source notes suspicion not confirmed,commercial COTS,DJI Mavic 2,DJI,surveillance,FPV manual,surveillance/ISR; prison contraband,Los Choneros (suspected),prison corruption; drug trafficking,legal retail,China (DJI),FALSE,Not applicable,UNVERIFIED,Probable,AP,https://apnews.com/world-news/general-news-35a2811ece87a394843596eb92dcd0a4,https://apnews.com/world-news/general-news-35a2811ece87a394843596eb92dcd0a4,main document section 'No Verified Drone Activity' lists Los Choneros; Table 2 lists as suspected only; verification_status set UNVERIFIED; evidence_quality Probable; model from Table 2 entry
